iter	Passed	Remaining
906	4753	487
907	4758	482
908	4762	476
909	4767	471
910	4772	466
911	4777	460
912	4781	455
913	4786	450
914	4791	445
915	4796	439
916	4800	434
917	4804	429
918	4809	423
919	4814	418
920	4819	413
921	4823	408
922	4828	402
923	4832	397
924	4836	392
925	4841	386
926	4845	381
927	4850	376
928	4855	371
929	4859	365
930	4863	360
931	4868	355
932	4872	349
933	4877	344
934	4881	339
935	4886	334
936	4891	328
937	4896	323
938	4900	318
939	4905	313
940	4909	307
941	4913	302
942	4918	297
943	4923	292
944	4928	286
945	4932	281
946	4936	276
947	4941	271
948	4945	265
949	4950	260
950	4955	255
951	4960	250
952	4964	244
953	4968	239
954	4972	234
955	4977	229
956	4981	223
957	4986	218
958	4991	213
959	4996	208
960	5001	202
961	5005	197
962	5010	192
963	5014	187
964	5019	182
965	5023	176
966	5027	171
967	5032	166
968	5036	161
969	5041	155
970	5045	150
971	5050	145
972	5054	140
973	5058	135
974	5062	129
975	5067	124
976	5072	119
977	5076	114
978	5081	108
979	5085	103
980	5090	98
981	5094	93
982	5099	88
983	5104	82
984	5108	77
985	5113	72
986	5119	67
987	5123	62
988	5127	57
989	5131	51
990	5135	46
991	5140	41
992	5144	36
993	5149	31
994	5154	25
995	5159	20
996	5163	15
997	5167	10
998	5172	5
999	5176	0
